fruits,alcohols,non-alcohols,others
blood orange,benedictine,sparkling water,ice cream
apple,vermouth,orgeat,ice cube
fruit,coffee liqueur,passion fruit juice,mint
strawberry,beer,sparkling mineral water,powdered sugar
orange,apple liqueur,cane sugar syrup,granulated sugar
lime,dark rum,lemon juice,celery salt
litchi,campari,tomato juice,whole milk
cherry,get_27,berry juice,pistachio nut
coconut,apricot liqueur,manguo juice,cucumbers
kiwi fruit,creme de cassis,apricot juice,rice milk
kumquat,blush wine,schweppes,creme de cafe
pineapple,amber rum,strawberry juice,tabasco sauce
pear,cointreau,fruit syrup,coriander
brown sugar,cognac,coca-cola,cane sugar
citrus fruit,cachaça,banana juice,lemon zest
raspberry,prosecco,grape juice,cinnamon
melon,white wine,soda water,
berry,kirsch,syrup,ginger
currant,grand marnier,peach syrup,wasabi
blackcurrant,blue curacao,cherry juice,sour cream
banana,noilly_prat,peach juice,light whipping cream
clementine orange,calvados,currant syrup,nutmeg
lemon,plum brandy,guava juice,brown sugar
apricot,martini,soft drink,sugar
grapefruit,triple sec,sangria syrup,vanilla sugar
,whiskey,pineapple juice,egg
,gin,coffee,anise basil
,vodka,tamarin juice,lime zest
,stout,angostura bitter,apple cider
,liqueur,water,passion fruit syrup
,sparkling wine,lemonade,lemon syrup
,rum,juice,salt
,porto,cranberry juice,lemon slice
,lemon liqueur,lime juice,lemongrass
,tequila,grapefruit juice,pepper
,white martini,orange syrup,worcestershire sauce
,white rum,pear juice,crushed ice
,litchi liqueur,litchi juice,coconut milk
,hard cider,grenadine,
,pastis,orange juice,
,red martini,strawberry syrup,
,rice wine,mint syrup,
,crémant,multivitamin juice,
,malibu rum,apple juice,
,mangalore,,
,pisang ambon,,
,noilly prat,,
,pear liqueur,,
,champagne,,
,dry white wine,,
,cava,,
